# written by /home/mroughan/Reports/Networking/Topology/Waxman/Matlab/Estimation/G.m (Matlab version 0.03)
# written on 01-Jun-2016
# 
# parameters 
#    region = unit square
# format:   s,   G(s)
 0.282,  0.865365
 0.283,  0.864929
 0.284,  0.864493
 0.285,  0.864058
 0.286,  0.863622
 0.287,  0.863187
 0.288,  0.862753
 0.289,  0.862318
 0.290,  0.861884
 0.291,  0.861450
 0.292,  0.861016
 0.293,  0.860583
 0.294,  0.860149
 0.295,  0.859716
 0.296,  0.859284
 0.297,  0.858851
 0.298,  0.858419
 0.299,  0.857987
 0.300,  0.857556
 0.301,  0.857125
 0.302,  0.856693
 0.303,  0.856263
 0.304,  0.855832
 0.305,  0.855402
 0.306,  0.854972
 0.307,  0.854542
 0.308,  0.854113
 0.309,  0.853684
 0.310,  0.853255
 0.311,  0.852826
 0.312,  0.852398
 0.313,  0.851970
 0.314,  0.851542
 0.315,  0.851114
 0.316,  0.850687
 0.317,  0.850260
 0.318,  0.849833
 0.319,  0.849407
 0.320,  0.848981
 0.321,  0.848555
 0.322,  0.848129
 0.323,  0.847704
 0.324,  0.847278
 0.325,  0.846853
 0.326,  0.846429
 0.327,  0.846004
 0.328,  0.845580
 0.329,  0.845156
 0.330,  0.844733
 0.331,  0.844310
 0.332,  0.843886
 0.333,  0.843464
 0.334,  0.843041
 0.335,  0.842619
 0.336,  0.842197
 0.337,  0.841775
 0.338,  0.841354
 0.339,  0.840932
 0.340,  0.840511
 0.341,  0.840091
 0.342,  0.839670
 0.343,  0.839250
 0.344,  0.838830
 0.345,  0.838411
 0.346,  0.837991
 0.347,  0.837572
 0.348,  0.837153
 0.349,  0.836735
 0.350,  0.836316
 0.351,  0.835898
 0.352,  0.835480
 0.353,  0.835063
 0.354,  0.834645
 0.355,  0.834228
 0.356,  0.833811
 0.357,  0.833395
 0.358,  0.832979
 0.359,  0.832563
 0.360,  0.832147
 0.361,  0.831731
 0.362,  0.831316
 0.363,  0.830901
 0.364,  0.830486
